com.gsnathan.pdfviewer - Cumulative average rating by country for 2018-02-23 - 2019-03-27
,,Metric,Cumulative average rating,Cumulative average rating,Cumulative average rating,Cumulative average rating,Notes
,,Dimension,All countries,Canada,Germany,India
Period,Date
2018-02-23 - 2019-03-27,2018-02-23,,-,-,-,-,"Rollout of release - Started rollout of 1.2 at 100%, Rollout of release - Started rollout of 1.3 at 100%"
2018-02-23 - 2019-03-27,2018-02-24,,-,-,-,-,Rollout of release - Started rollout of 1.4 at 100%
2018-02-23 - 2019-03-27,2018-02-25,,5.00,-,-,-,Rollout of release - Started rollout of 1.5 at 100%
2018-02-23 - 2019-03-27,2018-02-26,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-02-27,,5.00,-,-,-,Rollout of release - Started rollout of 1.6 at 100%
2018-02-23 - 2019-03-27,2018-02-28,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-01,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-02,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-03,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-04,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-05,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-06,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-07,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-08,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-09,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-10,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-11,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-12,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-13,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-14,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-15,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-16,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-17,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-18,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-19,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-20,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-21,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-22,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-23,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-24,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-25,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-26,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-27,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-28,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-29,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-30,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-03-31,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-01,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-02,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-03,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-04,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-05,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-06,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-07,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-08,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-09,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-10,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-11,,5.00,-,-,-
2018-02-23 - 2019-03-27,2018-04-12,,4.00,-,1.00,-
2018-02-23 - 2019-03-27,2018-04-13,,4.00,-,1.00,-
2018-02-23 - 2019-03-27,2018-04-14,,4.00,-,1.00,-
2018-02-23 - 2019-03-27,2018-04-15,,4.00,-,1.00,-
2018-02-23 - 2019-03-27,2018-04-16,,4.00,-,2.50,-
2018-02-23 - 2019-03-27,2018-04-17,,4.00,-,2.50,-
2018-02-23 - 2019-03-27,2018-04-18,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-19,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-20,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-21,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-22,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-23,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-24,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-25,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-26,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-27,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-28,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-29,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-04-30,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-01,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-02,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-03,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-04,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-05,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-06,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-07,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-08,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-09,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-10,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-11,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-12,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-13,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-14,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-15,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-16,,4.17,5.00,2.50,-,Rollout of release - Started rollout of 1.7 at 100%
2018-02-23 - 2019-03-27,2018-05-17,,4.17,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-18,,4.29,5.00,2.50,-,Rollout of release - Started rollout of 1.8 at 100%
2018-02-23 - 2019-03-27,2018-05-19,,4.29,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-20,,4.29,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-21,,4.29,5.00,2.50,-
2018-02-23 - 2019-03-27,2018-05-22,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-23,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-24,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-25,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-26,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-27,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-28,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-29,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-30,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-05-31,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-01,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-02,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-03,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-04,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-05,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-06,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-07,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-08,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-09,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-10,,4.44,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-11,,4.50,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-12,,4.55,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-13,,4.55,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-14,,4.55,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-15,,4.42,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-16,,4.42,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-17,,4.42,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-18,,4.42,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-19,,4.42,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-20,,4.42,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-21,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-22,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-23,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-24,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-25,,4.38,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-26,,4.43,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-27,,4.43,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-28,,4.43,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-29,,4.43,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-06-30,,4.43,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-01,,4.43,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-02,,4.47,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-03,,4.47,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-04,,4.47,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-05,,4.47,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-06,,4.47,5.00,3.33,-
2018-02-23 - 2019-03-27,2018-07-07,,4.50,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-08,,4.47,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-09,,4.47,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-10,,4.47,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-11,,4.47,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-12,,4.47,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-13,,4.47,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-14,,4.50,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-15,,4.53,5.00,3.33,5.00
2018-02-23 - 2019-03-27,2018-07-16,,4.48,5.00,3.50,5.00
2018-02-23 - 2019-03-27,2018-07-17,,4.48,5.00,3.50,5.00
2018-02-23 - 2019-03-27,2018-07-18,,4.48,5.00,3.50,5.00
2018-02-23 - 2019-03-27,2018-07-19,,4.48,5.00,3.50,5.00
2018-02-23 - 2019-03-27,2018-07-20,,4.48,5.00,3.50,5.00
2018-02-23 - 2019-03-27,2018-07-21,,4.50,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-22,,4.48,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-23,,4.48,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-24,,4.46,5.00,3.80,5.00,Rollout of release - Started rollout of 1.9 at 100%
2018-02-23 - 2019-03-27,2018-07-25,,4.46,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-26,,4.48,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-27,,4.48,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-28,,4.48,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-29,,4.50,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-30,,4.50,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-07-31,,4.50,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-01,,4.50,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-02,,4.52,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-03,,4.52,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-04,,4.52,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-05,,4.52,5.00,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-06,,4.39,3.67,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-07,,4.39,3.67,3.80,5.00
2018-02-23 - 2019-03-27,2018-08-08,,4.41,3.67,4.00,5.00
2018-02-23 - 2019-03-27,2018-08-09,,4.41,3.67,4.00,5.00
2018-02-23 - 2019-03-27,2018-08-10,,4.41,3.67,4.00,5.00
2018-02-23 - 2019-03-27,2018-08-11,,4.43,3.67,4.14,5.00
2018-02-23 - 2019-03-27,2018-08-12,,4.43,3.67,4.14,5.00
2018-02-23 - 2019-03-27,2018-08-13,,4.45,3.67,4.14,5.00
2018-02-23 - 2019-03-27,2018-08-14,,4.45,3.67,4.14,5.00
2018-02-23 - 2019-03-27,2018-08-15,,4.45,3.67,4.14,5.00
2018-02-23 - 2019-03-27,2018-08-16,,4.45,3.67,4.14,5.00
